power,time
1249.015,1563
1249.218,1562
1249.23,1561
1249.433,1560
1249.633,1559
1249.887,1558
1250.105,1557
1250.188,1556
1250.26,1555
1250.316,1554
1250.425,1553
1250.756,1552
1250.834,1551
1251.051,1550
1251.196,1549
1251.224,1548
1251.528,1547
1251.69,1546
1251.701,1545
1251.798,1544
1251.809,1543
1251.894,1542
1252.072,1541
1252.083,1540
1252.085,1539
1252.72,1538
1252.757,1537
1252.886,1536
1252.963,1535
1253.013,1534
1253.083,1533
1253.286,1532
1253.497,1531
1253.501,1530
1253.553,1529
1253.713,1528
1253.887,1527
1254.505,1526
1254.853,1525
1254.931,1524
1254.984,1523
1255.03,1522
1255.083,1521
1255.796,1520
1256.118,1519
1256.474,1518
1256.521,1517
1256.618,1516
1256.63,1515
1256.664,1514
1256.84,1513
1256.858,1512
1256.938,1511
1257.008,1510
1257.39,1509
1257.465,1508
1257.477,1507
1257.789,1506
1258.083,1505
1258.112,1504
1258.318,1503
1258.364,1502
1258.372,1501
1258.531,1500
1258.637,1499
1258.653,1498
1258.792,1497
1258.865,1496
1259.012,1495
1259.06,1494
1259.95,1493
1260.405,1492
1260.576,1491
1260.721,1490
1261.008,1489
1261.008,1488
1261.155,1487
1261.233,1486
1261.439,1485
1261.623,1484
1261.691,1483
1261.818,1482
1261.851,1481
1262.262,1480
1262.526,1479
1262.709,1478
1262.997,1477
1263.008,1476
1263.073,1475
1263.124,1474
1263.124,1473
1263.324,1472
1263.845,1471
1263.906,1470
1263.941,1469
1264.257,1468
1264.311,1467
1264.435,1466
1264.568,1465
1264.604,1464
1265.003,1463
1265.106,1462
1265.164,1461
1265.168,1460
1265.268,1459
1265.876,1458
1266.039,1457
1266.118,1456
1266.249,1455
1266.411,1454
1266.432,1453
1266.442,1452
1267.141,1451
1267.251,1450
1267.399,1449
1268.034,1448
1268.135,1447
1268.188,1446
1268.229,1445
1268.306,1444
1268.326,1443
1268.574,1442
1268.777,1441
1268.943,1440
1269.005,1439
1269.081,1438
1269.091,1437
1269.15,1436
1269.312,1435
1269.481,1434
1269.511,1433
1269.908,1432
1269.987,1431
1270.049,1430
1270.139,1429
1270.28,1428
1270.592,1427
1270.617,1426
1270.643,1425
1270.855,1424
1271.609,1423
1271.777,1422
1271.786,1421
1271.795,1420
1272.521,1419
1273.122,1418
1273.335,1417
1273.518,1416
1273.535,1415
1273.755,1414
1273.768,1413
1273.82,1412
1273.898,1411
1274.1,1410
1274.776,1409
1275.045,1408
1275.046,1407
1275.094,1406
1275.148,1405
1275.261,1404
1275.42,1403
1275.688,1402
1275.742,1401
1275.974,1400
1275.983,1399
1276.172,1398
1276.428,1397
1276.553,1396
1276.741,1395
1276.754,1394
1276.873,1393
1276.903,1392
1277.013,1391
1277.193,1390
1277.339,1389
1277.947,1388
1278.069,1387
1278.377,1386
1278.527,1385
1278.615,1384
1278.732,1383
1279.28,1382
1279.376,1381
1279.437,1380
1279.499,1379
1279.67,1378
1279.946,1377
1279.987,1376
1280.407,1375
1280.549,1374
1280.724,1373
1280.825,1372
1280.907,1371
1281.105,1370
1281.288,1369
1281.458,1368
1281.492,1367
1281.529,1366
1281.833,1365
1282.169,1364
1282.239,1363
1282.535,1362
1282.554,1361
1282.682,1360
1283.045,1359
1283.084,1358
1283.109,1357
1283.424,1356
1283.475,1355
1283.778,1354
1283.782,1353
1283.79,1352
1283.83,1351
1283.991,1350
1284.106,1349
1284.32,1348
